scoring_method,dataset,top_k_acc,ms2scorer,k
LC-MS$^2$Struct (2D),SM_001,0.741169162221766,MetFrag,20
LC-MS$^2$Struct (3D),SM_001,5.648576569629178,MetFrag,20
Only-MS$^2$,UT_000,0.0,MetFrag,20
LC-MS$^2$Struct (2D),UT_000,2.203483302497723,MetFrag,20
LC-MS$^2$Struct (3D),UT_000,16.66202179947276,MetFrag,20
Only-MS$^2$,AVG.,0.0,MetFrag,20
LC-MS$^2$Struct (2D),AVG.,1.1662322851971254,MetFrag,20
LC-MS$^2$Struct (3D),AVG.,7.186268775673867,MetFrag,20
Only-MS$^2$,AC_003,0.0,SIRIUS,1
LC-MS$^2$Struct (2D),AC_003,0.22259259259259245,SIRIUS,1
LC-MS$^2$Struct (3D),AC_003,0.9364669095159455,SIRIUS,1
Only-MS$^2$,AU_002,0.0,SIRIUS,1
LC-MS$^2$Struct (2D),AU_002,0.0791764068721017,SIRIUS,1
LC-MS$^2$Struct (3D),AU_002,3.8739181760726575,SIRIUS,1
Only-MS$^2$,BML_001,0.0,SIRIUS,1
LC-MS$^2$Struct (2D),BML_001,0.0,SIRIUS,1
LC-MS$^2$Struct (3D),BML_001,15.248072361075456,SIRIUS,1
Only-MS$^2$,BS_000,0.0,SIRIUS,1
LC-MS$^2$Struct (2D),BS_000,0.053333333333334565,SIRIUS,1
LC-MS$^2$Struct (3D),BS_000,4.5098750255419215,SIRIUS,1
Only-MS$^2$,EA_002,0.0,SIRIUS,1
LC-MS$^2$Struct (2D),EA_002,-0.5950894343751489,SIRIUS,1
LC-MS$^2$Struct (3D),EA_002,3.656710256477881,SIRIUS,1
Only-MS$^2$,EA_003,0.0,SIRIUS,1
LC-MS$^2$Struct (2D),EA_003,-0.12419580963032573,SIRIUS,1
LC-MS$^2$Struct (3D),EA_003,6.881421412856368,SIRIUS,1
Only-MS$^2$,EQ_004,0.0,SIRIUS,1
LC-MS$^2$Struct (2D),EQ_004,0.5228758169934622,SIRIUS,1
LC-MS$^2$Struct (3D),EQ_004,-2.1230992153995225,SIRIUS,1
Only-MS$^2$,LQB_000,0.0,SIRIUS,1
LC-MS$^2$Struct (2D),LQB_000,-0.02408855830756007,SIRIUS,1
LC-MS$^2$Struct (3D),LQB_000,9.883662196844309,SIRIUS,1
Only-MS$^2$,LU_000,0.0,SIRIUS,1
LC-MS$^2$Struct (2D),LU_000,1.3333333333333321,SIRIUS,1
LC-MS$^2$Struct (3D),LU_000,3.442226443578708,SIRIUS,1
Only-MS$^2$,LU_001,0.0,SIRIUS,1
LC-MS$^2$Struct (2D),LU_001,0.13333333333333375,SIRIUS,1
LC-MS$^2$Struct (3D),LU_001,3.220947438899149,SIRIUS,1
Only-MS$^2$,NA_003,0.0,SIRIUS,1
LC-MS$^2$Struct (2D),NA_003,0.0,SIRIUS,1
LC-MS$^2$Struct (3D),NA_003,1.3864401241945044,SIRIUS,1
Only-MS$^2$,PR_002,0.0,SIRIUS,1
LC-MS$^2$Struct (2D),PR_002,-0.10063382780774166,SIRIUS,1
LC-MS$^2$Struct (3D),PR_002,0.7896477605331933,SIRIUS,1
Only-MS$^2$,RP_000,0.0,SIRIUS,1
LC-MS$^2$Struct (2D),RP_000,0.3968253968253972,SIRIUS,1
LC-MS$^2$Struct (3D),RP_000,-5.373566879474506,SIRIUS,1
Only-MS$^2$,RP_001,0.0,SIRIUS,1
LC-MS$^2$Struct (2D),RP_001,0.038051750380516225,SIRIUS,1
LC-MS$^2$Struct (3D),RP_001,0.7161272603115751,SIRIUS,1
Only-MS$^2$,SM_001,0.0,SIRIUS,1
LC-MS$^2$Struct (2D),SM_001,1.1111111111111116,SIRIUS,1
LC-MS$^2$Struct (3D),SM_001,7.781590413943357,SIRIUS,1
Only-MS$^2$,UT_000,0.0,SIRIUS,1
LC-MS$^2$Struct (2D),UT_000,-0.2949542178063478,SIRIUS,1
LC-MS$^2$Struct (3D),UT_000,4.738899853227862,SIRIUS,1
Only-MS$^2$,AVG.,0.0,SIRIUS,1
LC-MS$^2$Struct (2D),AVG.,0.07345453041407612,SIRIUS,1
LC-MS$^2$Struct (3D),AVG.,3.241399596663486,SIRIUS,1
Only-MS$^2$,AC_003,0.0,SIRIUS,20
LC-MS$^2$Struct (2D),AC_003,-0.021191868560286764,SIRIUS,20
LC-MS$^2$Struct (3D),AC_003,2.054966094502042,SIRIUS,20
Only-MS$^2$,AU_002,0.0,SIRIUS,20
LC-MS$^2$Struct (2D),AU_002,-0.2723324356145369,SIRIUS,20
LC-MS$^2$Struct (3D),AU_002,6.563432592272335,SIRIUS,20
Only-MS$^2$,BML_001,0.0,SIRIUS,20
LC-MS$^2$Struct (2D),BML_001,0.0,SIRIUS,20
LC-MS$^2$Struct (3D),BML_001,-0.4719967568264707,SIRIUS,20
Only-MS$^2$,BS_000,0.0,SIRIUS,20
LC-MS$^2$Struct (2D),BS_000,-0.8022991983861587,SIRIUS,20
LC-MS$^2$Struct (3D),BS_000,3.150005113911419,SIRIUS,20
Only-MS$^2$,EA_002,0.0,SIRIUS,20
LC-MS$^2$Struct (2D),EA_002,0.0744017886875099,SIRIUS,20
LC-MS$^2$Struct (3D),EA_002,5.076773051860798,SIRIUS,20
Only-MS$^2$,EA_003,0.0,SIRIUS,20
LC-MS$^2$Struct (2D),EA_003,-0.12142080685531198,SIRIUS,20
LC-MS$^2$Struct (3D),EA_003,9.515451292125036,SIRIUS,20
Only-MS$^2$,EQ_004,0.0,SIRIUS,20
LC-MS$^2$Struct (2D),EQ_004,-0.5282216749082025,SIRIUS,20
LC-MS$^2$Struct (3D),EQ_004,10.466493351834067,SIRIUS,20
Only-MS$^2$,LQB_000,0.0,SIRIUS,20
LC-MS$^2$Struct (2D),LQB_000,-0.2796056457676741,SIRIUS,20
LC-MS$^2$Struct (3D),LQB_000,7.957213924459559,SIRIUS,20
Only-MS$^2$,LU_000,0.0,SIRIUS,20
LC-MS$^2$Struct (2D),LU_000,-0.028638223261260976,SIRIUS,20
LC-MS$^2$Struct (3D),LU_000,3.9226983686605763,SIRIUS,20
Only-MS$^2$,LU_001,0.0,SIRIUS,20
LC-MS$^2$Struct (2D),LU_001,0.8481808507265569,SIRIUS,20
LC-MS$^2$Struct (3D),LU_001,6.73313005201738,SIRIUS,20
Only-MS$^2$,NA_003,0.0,SIRIUS,20
LC-MS$^2$Struct (2D),NA_003,0.12293642430628893,SIRIUS,20
LC-MS$^2$Struct (3D),NA_003,5.252003316018666,SIRIUS,20
Only-MS$^2$,PR_002,0.0,SIRIUS,20
LC-MS$^2$Struct (2D),PR_002,0.1465254765286943,SIRIUS,20
LC-MS$^2$Struct (3D),PR_002,3.2805795004259224,SIRIUS,20
Only-MS$^2$,RP_000,0.0,SIRIUS,20
LC-MS$^2$Struct (2D),RP_000,-1.9200244200244398,SIRIUS,20
LC-MS$^2$Struct (3D),RP_000,-4.045818663971183,SIRIUS,20
Only-MS$^2$,RP_001,0.0,SIRIUS,20
LC-MS$^2$Struct (2D),RP_001,-0.32811290021095374,SIRIUS,20
LC-MS$^2$Struct (3D),RP_001,1.3875818344831785,SIRIUS,20
Only-MS$^2$,SM_001,0.0,SIRIUS,20
LC-MS$^2$Struct (2D),SM_001,0.0,SIRIUS,20
LC-MS$^2$Struct (3D),SM_001,7.066993464052288,SIRIUS,20
Only-MS$^2$,UT_000,0.0,SIRIUS,20
LC-MS$^2$Struct (2D),UT_000,-0.04926108374385052,SIRIUS,20
LC-MS$^2$Struct (3D),UT_000,5.327653973472067,SIRIUS,20
Only-MS$^2$,AVG.,0.0,SIRIUS,20
LC-MS$^2$Struct (2D),AVG.,-0.0626613945681882,SIRIUS,20
LC-MS$^2$Struct (3D),AVG.,4.5885767983492585,SIRIUS,20
