scoring_method,dataset,top_k_acc,ms2scorer,k
MS$^2$+logP,EQ_004,49.46666666666667,CFM-ID,20
MS$^2$+RO,EQ_004,54.93333333333333,CFM-ID,20
Only-MS$^2$,EQ_006,40.666666666666664,CFM-ID,20
LC-MS$^2$Struct,EQ_006,47.06666666666667,CFM-ID,20
MS$^2$+RT,EQ_006,38.93333333333333,CFM-ID,20
MS$^2$+logP,EQ_006,40.0,CFM-ID,20
MS$^2$+RO,EQ_006,46.0,CFM-ID,20
Only-MS$^2$,LQB_000,81.91895424836602,CFM-ID,20
LC-MS$^2$Struct,LQB_000,92.3529411764706,CFM-ID,20
MS$^2$+RT,LQB_000,85.97254901960785,CFM-ID,20
MS$^2$+logP,LQB_000,82.38562091503269,CFM-ID,20
MS$^2$+RO,LQB_000,89.35947712418302,CFM-ID,20
Only-MS$^2$,LU_000,43.959201606260436,CFM-ID,20
LC-MS$^2$Struct,LU_000,51.69144580909286,CFM-ID,20
MS$^2$+RT,LU_000,42.19825751258172,CFM-ID,20
MS$^2$+logP,LU_000,47.48976513682396,CFM-ID,20
MS$^2$+RO,LU_000,48.066149536737775,CFM-ID,20
Only-MS$^2$,LU_001,44.638694638694645,CFM-ID,20
LC-MS$^2$Struct,LU_001,51.48430001371178,CFM-ID,20
MS$^2$+RT,LU_001,44.28218839983546,CFM-ID,20
MS$^2$+logP,LU_001,43.90511449334979,CFM-ID,20
MS$^2$+RO,LU_001,48.85849444672974,CFM-ID,20
Only-MS$^2$,NA_003,29.6423228456537,CFM-ID,20
LC-MS$^2$Struct,NA_003,36.4,CFM-ID,20
MS$^2$+RT,NA_003,34.042322845653686,CFM-ID,20
MS$^2$+logP,NA_003,27.416502717239343,CFM-ID,20
MS$^2$+RO,NA_003,33.0,CFM-ID,20
Only-MS$^2$,PR_000,54.09204630102981,CFM-ID,20
LC-MS$^2$Struct,PR_000,68.52661064425772,CFM-ID,20
MS$^2$+RT,PR_000,55.49829417225504,CFM-ID,20
MS$^2$+logP,PR_000,54.799919967987194,CFM-ID,20
MS$^2$+RO,PR_000,58.372549019607845,CFM-ID,20
Only-MS$^2$,PR_002,49.503267973856204,CFM-ID,20
LC-MS$^2$Struct,PR_002,59.37690631808279,CFM-ID,20
MS$^2$+RT,PR_002,52.80392156862745,CFM-ID,20
MS$^2$+logP,PR_002,48.83442265795207,CFM-ID,20
MS$^2$+RO,PR_002,54.7755991285403,CFM-ID,20
Only-MS$^2$,RP_001,45.06666666666667,CFM-ID,20
LC-MS$^2$Struct,RP_001,59.46666666666667,CFM-ID,20
MS$^2$+RT,RP_001,44.266666666666666,CFM-ID,20
MS$^2$+logP,RP_001,49.333333333333336,CFM-ID,20
MS$^2$+RO,RP_001,57.333333333333336,CFM-ID,20
Only-MS$^2$,SM_000,46.36267443914503,CFM-ID,20
LC-MS$^2$Struct,SM_000,51.86666666666667,CFM-ID,20
MS$^2$+RT,SM_000,44.575589875589884,CFM-ID,20
MS$^2$+logP,SM_000,46.08888888888888,CFM-ID,20
MS$^2$+RO,SM_000,46.53333333333333,CFM-ID,20
Only-MS$^2$,SM_001,48.85869241313547,CFM-ID,20
LC-MS$^2$Struct,SM_001,54.90196078431372,CFM-ID,20
MS$^2$+RT,SM_001,46.897908099409975,CFM-ID,20
MS$^2$+logP,SM_001,47.05882352941176,CFM-ID,20
MS$^2$+RO,SM_001,50.98039215686275,CFM-ID,20
Only-MS$^2$,UF_002,35.86666666666667,CFM-ID,20
LC-MS$^2$Struct,UF_002,41.333333333333336,CFM-ID,20
MS$^2$+RT,UF_002,34.13333333333333,CFM-ID,20
MS$^2$+logP,UF_002,33.2,CFM-ID,20
MS$^2$+RO,UF_002,39.733333333333334,CFM-ID,20
Only-MS$^2$,UF_003,36.4,CFM-ID,20
LC-MS$^2$Struct,UF_003,47.2,CFM-ID,20
MS$^2$+RT,UF_003,35.86666666666667,CFM-ID,20
MS$^2$+logP,UF_003,36.53333333333333,CFM-ID,20
MS$^2$+RO,UF_003,42.666666666666664,CFM-ID,20
Only-MS$^2$,UT_000,71.73861920954958,CFM-ID,20
LC-MS$^2$Struct,UT_000,79.5920012901145,CFM-ID,20
MS$^2$+RT,UT_000,79.52640108665456,CFM-ID,20
MS$^2$+logP,UT_000,58.67054132973944,CFM-ID,20
MS$^2$+RO,UT_000,80.0038582209076,CFM-ID,20
Only-MS$^2$,AVG.,43.96403347585723,CFM-ID,20
LC-MS$^2$Struct,AVG.,53.3109106826088,CFM-ID,20
MS$^2$+RT,AVG.,44.335093853283816,CFM-ID,20
MS$^2$+logP,AVG.,43.26806604897848,CFM-ID,20
MS$^2$+RO,AVG.,48.914178611268724,CFM-ID,20
Only-MS$^2$,AC_003,12.286981018259125,MetFrag,1
LC-MS$^2$Struct,AC_003,20.133333333333333,MetFrag,1
MS$^2$+RT,AC_003,12.83528609568345,MetFrag,1
MS$^2$+logP,AC_003,10.79632249039637,MetFrag,1
MS$^2$+RO,AC_003,12.76532273962926,MetFrag,1
Only-MS$^2$,AU_000,9.500791937065268,MetFrag,1
LC-MS$^2$Struct,AU_000,19.955555555555556,MetFrag,1
MS$^2$+RT,AU_000,9.605343528691538,MetFrag,1
MS$^2$+logP,AU_000,11.150000000000002,MetFrag,1
MS$^2$+RO,AU_000,14.116666666666669,MetFrag,1
Only-MS$^2$,AU_002,4.686796417178445,MetFrag,1
LC-MS$^2$Struct,AU_002,8.969751422581611,MetFrag,1
MS$^2$+RT,AU_002,4.76440793322987,MetFrag,1
MS$^2$+logP,AU_002,5.347431216525401,MetFrag,1
MS$^2$+RO,AU_002,6.441727634450006,MetFrag,1
