k,avg_top_k_acc,scoring_method,ms2scorer
16,75.88411312463049,Only-MS$^2$,SIRIUS
17,76.36144127504112,Only-MS$^2$,SIRIUS
18,76.83154541933914,Only-MS$^2$,SIRIUS
19,77.31699426905203,Only-MS$^2$,SIRIUS
20,77.61303925499973,Only-MS$^2$,SIRIUS
1,36.38071224939923,LC-MS$^2$Struct (2D),SIRIUS
2,49.81914588310377,LC-MS$^2$Struct (2D),SIRIUS
3,56.44273209189125,LC-MS$^2$Struct (2D),SIRIUS
4,60.57961171700585,LC-MS$^2$Struct (2D),SIRIUS
5,63.88516225524143,LC-MS$^2$Struct (2D),SIRIUS
6,66.21701599657466,LC-MS$^2$Struct (2D),SIRIUS
7,68.41494460421958,LC-MS$^2$Struct (2D),SIRIUS
8,69.81018538295582,LC-MS$^2$Struct (2D),SIRIUS
9,71.05964468439748,LC-MS$^2$Struct (2D),SIRIUS
10,71.95208075758063,LC-MS$^2$Struct (2D),SIRIUS
11,72.8989161147696,LC-MS$^2$Struct (2D),SIRIUS
12,73.5479744561736,LC-MS$^2$Struct (2D),SIRIUS
13,74.48264317469929,LC-MS$^2$Struct (2D),SIRIUS
14,75.11496628710047,LC-MS$^2$Struct (2D),SIRIUS
15,75.67793798302856,LC-MS$^2$Struct (2D),SIRIUS
16,76.25635396636147,LC-MS$^2$Struct (2D),SIRIUS
17,76.7823231625185,LC-MS$^2$Struct (2D),SIRIUS
18,77.3079435107596,LC-MS$^2$Struct (2D),SIRIUS
19,77.70763020166676,LC-MS$^2$Struct (2D),SIRIUS
20,78.09740754620614,LC-MS$^2$Struct (2D),SIRIUS
1,38.14056555234539,LC-MS$^2$Struct (3D),SIRIUS
2,51.317701128761485,LC-MS$^2$Struct (3D),SIRIUS
3,58.34735102377716,LC-MS$^2$Struct (3D),SIRIUS
4,62.579603458637365,LC-MS$^2$Struct (3D),SIRIUS
5,65.99041403615905,LC-MS$^2$Struct (3D),SIRIUS
6,68.08829319846265,LC-MS$^2$Struct (3D),SIRIUS
7,70.02099333774271,LC-MS$^2$Struct (3D),SIRIUS
8,71.31357109553,LC-MS$^2$Struct (3D),SIRIUS
9,72.38877520788486,LC-MS$^2$Struct (3D),SIRIUS
10,73.39860229018396,LC-MS$^2$Struct (3D),SIRIUS
11,74.29657016981558,LC-MS$^2$Struct (3D),SIRIUS
12,75.01721413763448,LC-MS$^2$Struct (3D),SIRIUS
13,75.67324960507624,LC-MS$^2$Struct (3D),SIRIUS
14,76.22915777015515,LC-MS$^2$Struct (3D),SIRIUS
15,76.7331522290852,LC-MS$^2$Struct (3D),SIRIUS
16,77.3730177772354,LC-MS$^2$Struct (3D),SIRIUS
17,77.82686559880122,LC-MS$^2$Struct (3D),SIRIUS
18,78.284126649538,LC-MS$^2$Struct (3D),SIRIUS
19,78.6098377754406,LC-MS$^2$Struct (3D),SIRIUS
20,79.05664180456016,LC-MS$^2$Struct (3D),SIRIUS
