scoring_method,k,n_models,top_k_acc
LC-MS$^2$Struct,20,1,34.0
Only-MS$^2$,1,1,6.0
Only-MS$^2$,20,1,32.0
LC-MS$^2$Struct,1,2,6.0
LC-MS$^2$Struct,20,2,38.0
Only-MS$^2$,1,2,6.0
Only-MS$^2$,20,2,32.0
LC-MS$^2$Struct,1,3,8.0
LC-MS$^2$Struct,20,3,38.0
Only-MS$^2$,1,3,6.0
Only-MS$^2$,20,3,32.0
LC-MS$^2$Struct,1,4,8.0
LC-MS$^2$Struct,20,4,38.0
Only-MS$^2$,1,4,6.0
Only-MS$^2$,20,4,32.0
LC-MS$^2$Struct,1,5,8.0
LC-MS$^2$Struct,20,5,42.0
Only-MS$^2$,1,5,6.0
Only-MS$^2$,20,5,32.0
LC-MS$^2$Struct,1,6,8.0
LC-MS$^2$Struct,20,6,42.0
Only-MS$^2$,1,6,6.0
Only-MS$^2$,20,6,32.0
LC-MS$^2$Struct,1,7,10.0
LC-MS$^2$Struct,20,7,40.0
Only-MS$^2$,1,7,6.0
Only-MS$^2$,20,7,32.0
LC-MS$^2$Struct,1,8,10.0
LC-MS$^2$Struct,20,8,44.0
Only-MS$^2$,1,8,6.0
Only-MS$^2$,20,8,32.0
LC-MS$^2$Struct,1,1,16.0
LC-MS$^2$Struct,20,1,54.0
Only-MS$^2$,1,1,14.000000000000002
Only-MS$^2$,20,1,50.0
LC-MS$^2$Struct,1,2,12.0
LC-MS$^2$Struct,20,2,57.99999999999999
Only-MS$^2$,1,2,14.000000000000002
Only-MS$^2$,20,2,50.0
LC-MS$^2$Struct,1,3,12.0
LC-MS$^2$Struct,20,3,57.99999999999999
Only-MS$^2$,1,3,14.000000000000002
Only-MS$^2$,20,3,50.0
LC-MS$^2$Struct,1,4,12.0
LC-MS$^2$Struct,20,4,57.99999999999999
Only-MS$^2$,1,4,14.000000000000002
Only-MS$^2$,20,4,50.0
LC-MS$^2$Struct,1,5,14.000000000000002
LC-MS$^2$Struct,20,5,54.0
Only-MS$^2$,1,5,14.000000000000002
Only-MS$^2$,20,5,50.0
LC-MS$^2$Struct,1,6,14.000000000000002
LC-MS$^2$Struct,20,6,56.00000000000001
Only-MS$^2$,1,6,14.000000000000002
Only-MS$^2$,20,6,50.0
LC-MS$^2$Struct,1,7,14.000000000000002
LC-MS$^2$Struct,20,7,57.99999999999999
Only-MS$^2$,1,7,14.000000000000002
Only-MS$^2$,20,7,50.0
LC-MS$^2$Struct,1,8,14.000000000000002
LC-MS$^2$Struct,20,8,62.0
Only-MS$^2$,1,8,14.000000000000002
Only-MS$^2$,20,8,50.0
LC-MS$^2$Struct,1,1,14.000000000000002
LC-MS$^2$Struct,20,1,32.0
Only-MS$^2$,1,1,10.0
Only-MS$^2$,20,1,32.0
LC-MS$^2$Struct,1,2,14.000000000000002
LC-MS$^2$Struct,20,2,36.0
Only-MS$^2$,1,2,10.0
Only-MS$^2$,20,2,32.0
LC-MS$^2$Struct,1,3,14.000000000000002
LC-MS$^2$Struct,20,3,32.0
Only-MS$^2$,1,3,10.0
Only-MS$^2$,20,3,32.0
LC-MS$^2$Struct,1,4,14.000000000000002
LC-MS$^2$Struct,20,4,36.0
Only-MS$^2$,1,4,10.0
Only-MS$^2$,20,4,32.0
LC-MS$^2$Struct,1,5,14.000000000000002
LC-MS$^2$Struct,20,5,34.0
Only-MS$^2$,1,5,10.0
Only-MS$^2$,20,5,32.0
LC-MS$^2$Struct,1,6,14.000000000000002
LC-MS$^2$Struct,20,6,36.0
Only-MS$^2$,1,6,10.0
Only-MS$^2$,20,6,32.0
LC-MS$^2$Struct,1,7,14.000000000000002
LC-MS$^2$Struct,20,7,34.0
Only-MS$^2$,1,7,10.0
Only-MS$^2$,20,7,32.0
LC-MS$^2$Struct,1,8,14.000000000000002
LC-MS$^2$Struct,20,8,34.0
Only-MS$^2$,1,8,10.0
Only-MS$^2$,20,8,32.0
LC-MS$^2$Struct,1,1,12.0
LC-MS$^2$Struct,20,1,38.0
Only-MS$^2$,1,1,8.0
Only-MS$^2$,20,1,34.0
LC-MS$^2$Struct,1,2,12.0
LC-MS$^2$Struct,20,2,40.0
Only-MS$^2$,1,2,8.0
Only-MS$^2$,20,2,34.0
LC-MS$^2$Struct,1,3,12.0
LC-MS$^2$Struct,20,3,42.0
Only-MS$^2$,1,3,8.0
Only-MS$^2$,20,3,34.0
LC-MS$^2$Struct,1,4,10.0
LC-MS$^2$Struct,20,4,42.0
Only-MS$^2$,1,4,8.0
Only-MS$^2$,20,4,34.0
LC-MS$^2$Struct,1,5,10.0
LC-MS$^2$Struct,20,5,40.0
Only-MS$^2$,1,5,8.0
Only-MS$^2$,20,5,34.0
LC-MS$^2$Struct,1,6,10.0
LC-MS$^2$Struct,20,6,40.0
Only-MS$^2$,1,6,8.0
Only-MS$^2$,20,6,34.0
LC-MS$^2$Struct,1,7,10.0
LC-MS$^2$Struct,20,7,40.0
Only-MS$^2$,1,7,8.0
Only-MS$^2$,20,7,34.0
LC-MS$^2$Struct,1,8,12.0
LC-MS$^2$Struct,20,8,38.0
Only-MS$^2$,1,8,8.0
Only-MS$^2$,20,8,34.0
LC-MS$^2$Struct,1,1,10.0
LC-MS$^2$Struct,20,1,46.0
Only-MS$^2$,1,1,6.0
Only-MS$^2$,20,1,44.0
LC-MS$^2$Struct,1,2,10.0
LC-MS$^2$Struct,20,2,44.0
Only-MS$^2$,1,2,6.0
Only-MS$^2$,20,2,44.0
LC-MS$^2$Struct,1,3,10.0
LC-MS$^2$Struct,20,3,42.0
Only-MS$^2$,1,3,6.0
Only-MS$^2$,20,3,44.0
LC-MS$^2$Struct,1,4,10.0
LC-MS$^2$Struct,20,4,42.0
Only-MS$^2$,1,4,6.0
Only-MS$^2$,20,4,44.0
LC-MS$^2$Struct,1,5,10.0
LC-MS$^2$Struct,20,5,42.0
Only-MS$^2$,1,5,6.0
Only-MS$^2$,20,5,44.0
LC-MS$^2$Struct,1,6,10.0
LC-MS$^2$Struct,20,6,44.0
Only-MS$^2$,1,6,6.0
Only-MS$^2$,20,6,44.0
LC-MS$^2$Struct,1,7,10.0
LC-MS$^2$Struct,20,7,44.0
Only-MS$^2$,1,7,6.0
Only-MS$^2$,20,7,44.0
LC-MS$^2$Struct,1,8,10.0
LC-MS$^2$Struct,20,8,42.0
Only-MS$^2$,1,8,6.0
Only-MS$^2$,20,8,44.0
LC-MS$^2$Struct,1,1,12.0
LC-MS$^2$Struct,20,1,52.0
Only-MS$^2$,1,1,8.0
Only-MS$^2$,20,1,48.0
LC-MS$^2$Struct,1,2,10.0
LC-MS$^2$Struct,20,2,52.0
Only-MS$^2$,1,2,8.0
Only-MS$^2$,20,2,48.0
LC-MS$^2$Struct,1,3,10.0
LC-MS$^2$Struct,20,3,54.0
Only-MS$^2$,1,3,8.0
Only-MS$^2$,20,3,48.0
LC-MS$^2$Struct,1,4,12.0
LC-MS$^2$Struct,20,4,52.0
Only-MS$^2$,1,4,8.0
Only-MS$^2$,20,4,48.0
LC-MS$^2$Struct,1,5,8.0
LC-MS$^2$Struct,20,5,52.0
Only-MS$^2$,1,5,8.0
Only-MS$^2$,20,5,48.0
LC-MS$^2$Struct,1,6,8.0
LC-MS$^2$Struct,20,6,56.00000000000001
Only-MS$^2$,1,6,8.0
Only-MS$^2$,20,6,48.0
LC-MS$^2$Struct,1,7,10.0
LC-MS$^2$Struct,20,7,56.00000000000001
Only-MS$^2$,1,7,8.0
Only-MS$^2$,20,7,48.0
LC-MS$^2$Struct,1,8,10.0
LC-MS$^2$Struct,20,8,52.0
Only-MS$^2$,1,8,8.0
Only-MS$^2$,20,8,48.0
LC-MS$^2$Struct,1,1,16.0
LC-MS$^2$Struct,20,1,50.0
Only-MS$^2$,1,1,10.0
Only-MS$^2$,20,1,40.0
LC-MS$^2$Struct,1,2,10.0
LC-MS$^2$Struct,20,2,46.0
Only-MS$^2$,1,2,10.0
Only-MS$^2$,20,2,40.0
LC-MS$^2$Struct,1,3,14.000000000000002
LC-MS$^2$Struct,20,3,48.0
Only-MS$^2$,1,3,10.0
Only-MS$^2$,20,3,40.0
LC-MS$^2$Struct,1,4,14.000000000000002
LC-MS$^2$Struct,20,4,48.0
Only-MS$^2$,1,4,10.0
Only-MS$^2$,20,4,40.0
LC-MS$^2$Struct,1,5,16.0
LC-MS$^2$Struct,20,5,48.0
Only-MS$^2$,1,5,10.0
Only-MS$^2$,20,5,40.0
LC-MS$^2$Struct,1,6,14.000000000000002
LC-MS$^2$Struct,20,6,48.0
Only-MS$^2$,1,6,10.0
Only-MS$^2$,20,6,40.0
LC-MS$^2$Struct,1,7,12.0
LC-MS$^2$Struct,20,7,48.0
Only-MS$^2$,1,7,10.0
Only-MS$^2$,20,7,40.0
LC-MS$^2$Struct,1,8,14.000000000000002
LC-MS$^2$Struct,20,8,48.0
Only-MS$^2$,1,8,10.0
Only-MS$^2$,20,8,40.0
LC-MS$^2$Struct,1,1,14.000000000000002
LC-MS$^2$Struct,20,1,50.0
Only-MS$^2$,1,1,12.0
Only-MS$^2$,20,1,44.0
LC-MS$^2$Struct,1,2,12.0
LC-MS$^2$Struct,20,2,50.0
Only-MS$^2$,1,2,12.0
Only-MS$^2$,20,2,44.0
LC-MS$^2$Struct,1,3,12.0
LC-MS$^2$Struct,20,3,50.0
Only-MS$^2$,1,3,12.0
Only-MS$^2$,20,3,44.0
LC-MS$^2$Struct,1,4,12.0
LC-MS$^2$Struct,20,4,52.0
Only-MS$^2$,1,4,12.0
Only-MS$^2$,20,4,44.0
LC-MS$^2$Struct,1,5,16.0
LC-MS$^2$Struct,20,5,46.0
Only-MS$^2$,1,5,12.0
Only-MS$^2$,20,5,44.0
LC-MS$^2$Struct,1,6,14.000000000000002
LC-MS$^2$Struct,20,6,52.0
Only-MS$^2$,1,6,12.0
Only-MS$^2$,20,6,44.0
LC-MS$^2$Struct,1,7,14.000000000000002
LC-MS$^2$Struct,20,7,52.0
Only-MS$^2$,1,7,12.0
Only-MS$^2$,20,7,44.0
LC-MS$^2$Struct,1,8,14.000000000000002
LC-MS$^2$Struct,20,8,46.0
Only-MS$^2$,1,8,12.0
Only-MS$^2$,20,8,44.0
LC-MS$^2$Struct,1,1,18.0
LC-MS$^2$Struct,20,1,44.0
Only-MS$^2$,1,1,4.0
Only-MS$^2$,20,1,40.0
LC-MS$^2$Struct,1,2,12.0
LC-MS$^2$Struct,20,2,48.0
Only-MS$^2$,1,2,4.0
Only-MS$^2$,20,2,40.0
LC-MS$^2$Struct,1,3,14.000000000000002
LC-MS$^2$Struct,20,3,50.0
Only-MS$^2$,1,3,4.0
Only-MS$^2$,20,3,40.0
LC-MS$^2$Struct,1,4,14.000000000000002
LC-MS$^2$Struct,20,4,52.0
Only-MS$^2$,1,4,4.0
Only-MS$^2$,20,4,40.0
LC-MS$^2$Struct,1,5,10.0
LC-MS$^2$Struct,20,5,52.0
Only-MS$^2$,1,5,4.0
Only-MS$^2$,20,5,40.0
LC-MS$^2$Struct,1,6,10.0
LC-MS$^2$Struct,20,6,50.0
Only-MS$^2$,1,6,4.0
Only-MS$^2$,20,6,40.0
LC-MS$^2$Struct,1,7,10.0
LC-MS$^2$Struct,20,7,50.0
Only-MS$^2$,1,7,4.0
Only-MS$^2$,20,7,40.0
LC-MS$^2$Struct,1,8,10.0
LC-MS$^2$Struct,20,8,50.0
Only-MS$^2$,1,8,4.0
Only-MS$^2$,20,8,40.0
LC-MS$^2$Struct,1,1,8.0
LC-MS$^2$Struct,20,1,44.0
Only-MS$^2$,1,1,4.0
Only-MS$^2$,20,1,40.0
LC-MS$^2$Struct,1,2,6.0
LC-MS$^2$Struct,20,2,44.0
Only-MS$^2$,1,2,4.0
Only-MS$^2$,20,2,40.0
LC-MS$^2$Struct,1,3,6.0
LC-MS$^2$Struct,20,3,40.0
Only-MS$^2$,1,3,4.0
Only-MS$^2$,20,3,40.0
LC-MS$^2$Struct,1,4,8.0
LC-MS$^2$Struct,20,4,40.0
Only-MS$^2$,1,4,4.0
Only-MS$^2$,20,4,40.0
LC-MS$^2$Struct,1,5,8.0
LC-MS$^2$Struct,20,5,40.0
Only-MS$^2$,1,5,4.0
Only-MS$^2$,20,5,40.0
LC-MS$^2$Struct,1,6,8.0
LC-MS$^2$Struct,20,6,40.0
Only-MS$^2$,1,6,4.0
Only-MS$^2$,20,6,40.0
LC-MS$^2$Struct,1,7,8.0
LC-MS$^2$Struct,20,7,40.0
Only-MS$^2$,1,7,4.0
Only-MS$^2$,20,7,40.0
LC-MS$^2$Struct,1,8,10.0
LC-MS$^2$Struct,20,8,40.0
Only-MS$^2$,1,8,4.0
Only-MS$^2$,20,8,40.0
LC-MS$^2$Struct,1,1,5.454545454545454
LC-MS$^2$Struct,20,1,32.72727272727273
Only-MS$^2$,1,1,1.818181818181818
Only-MS$^2$,20,1,27.272727272727263
LC-MS$^2$Struct,1,2,5.454545454545454
LC-MS$^2$Struct,20,2,36.36363636363637
Only-MS$^2$,1,2,1.818181818181818
Only-MS$^2$,20,2,27.272727272727263
LC-MS$^2$Struct,1,3,5.454545454545454
LC-MS$^2$Struct,20,3,32.72727272727273
Only-MS$^2$,1,3,1.818181818181818
Only-MS$^2$,20,3,27.272727272727263
LC-MS$^2$Struct,1,4,5.454545454545454
LC-MS$^2$Struct,20,4,34.54545454545455
Only-MS$^2$,1,4,1.818181818181818
Only-MS$^2$,20,4,27.272727272727263
LC-MS$^2$Struct,1,5,5.454545454545454
LC-MS$^2$Struct,20,5,36.36363636363637
Only-MS$^2$,1,5,1.818181818181818
Only-MS$^2$,20,5,27.272727272727263
LC-MS$^2$Struct,1,6,5.454545454545454
LC-MS$^2$Struct,20,6,34.54545454545455
Only-MS$^2$,1,6,1.818181818181818
Only-MS$^2$,20,6,27.272727272727263
LC-MS$^2$Struct,1,7,5.454545454545454
LC-MS$^2$Struct,20,7,36.36363636363637
Only-MS$^2$,1,7,1.818181818181818
Only-MS$^2$,20,7,27.272727272727263
LC-MS$^2$Struct,1,8,7.272727272727272
LC-MS$^2$Struct,20,8,36.36363636363637
Only-MS$^2$,1,8,1.818181818181818
Only-MS$^2$,20,8,27.272727272727263
LC-MS$^2$Struct,1,1,25.49019607843137
LC-MS$^2$Struct,20,1,92.15686274509804
Only-MS$^2$,1,1,7.84313725490196
Only-MS$^2$,20,1,84.31372549019608
LC-MS$^2$Struct,1,2,27.450980392156865
LC-MS$^2$Struct,20,2,96.07843137254902
Only-MS$^2$,1,2,7.84313725490196
Only-MS$^2$,20,2,84.31372549019608
LC-MS$^2$Struct,1,3,33.33333333333333
LC-MS$^2$Struct,20,3,96.07843137254902
Only-MS$^2$,1,3,7.84313725490196
Only-MS$^2$,20,3,84.31372549019608
LC-MS$^2$Struct,1,4,35.294117647058826
LC-MS$^2$Struct,20,4,94.11764705882352
Only-MS$^2$,1,4,7.84313725490196
Only-MS$^2$,20,4,84.31372549019608
LC-MS$^2$Struct,1,5,31.37254901960784
LC-MS$^2$Struct,20,5,94.11764705882352
Only-MS$^2$,1,5,7.84313725490196
Only-MS$^2$,20,5,84.31372549019608
LC-MS$^2$Struct,1,6,33.33333333333333
LC-MS$^2$Struct,20,6,94.11764705882352
Only-MS$^2$,1,6,7.84313725490196
Only-MS$^2$,20,6,84.31372549019608
LC-MS$^2$Struct,1,7,33.33333333333333
LC-MS$^2$Struct,20,7,94.11764705882352
Only-MS$^2$,1,7,7.84313725490196
Only-MS$^2$,20,7,84.31372549019608
LC-MS$^2$Struct,1,8,33.33333333333333
LC-MS$^2$Struct,20,8,94.11764705882352
Only-MS$^2$,1,8,7.84313725490196
Only-MS$^2$,20,8,84.31372549019608
LC-MS$^2$Struct,1,1,30.0
LC-MS$^2$Struct,20,1,87.20000000000002
Only-MS$^2$,1,1,22.0
Only-MS$^2$,20,1,85.20000000000002
LC-MS$^2$Struct,1,2,30.0
LC-MS$^2$Struct,20,2,90.0
Only-MS$^2$,1,2,22.0
Only-MS$^2$,20,2,85.20000000000002
LC-MS$^2$Struct,1,3,34.0
LC-MS$^2$Struct,20,3,94.0
Only-MS$^2$,1,3,22.0
Only-MS$^2$,20,3,85.20000000000002
LC-MS$^2$Struct,1,4,38.0
LC-MS$^2$Struct,20,4,92.0
Only-MS$^2$,1,4,22.0
Only-MS$^2$,20,4,85.20000000000002
LC-MS$^2$Struct,1,5,34.0
LC-MS$^2$Struct,20,5,92.0
Only-MS$^2$,1,5,22.0
Only-MS$^2$,20,5,85.20000000000002
LC-MS$^2$Struct,1,6,36.0
LC-MS$^2$Struct,20,6,90.0
Only-MS$^2$,1,6,22.0
Only-MS$^2$,20,6,85.20000000000002
LC-MS$^2$Struct,1,7,34.0
LC-MS$^2$Struct,20,7,90.0
Only-MS$^2$,1,7,22.0
Only-MS$^2$,20,7,85.20000000000002
LC-MS$^2$Struct,1,8,32.0
LC-MS$^2$Struct,20,8,90.0
Only-MS$^2$,1,8,22.0
Only-MS$^2$,20,8,85.20000000000002
LC-MS$^2$Struct,1,1,30.0
LC-MS$^2$Struct,20,1,92.0
Only-MS$^2$,1,1,10.0
Only-MS$^2$,20,1,86.00000000000003
LC-MS$^2$Struct,1,2,28.000000000000004
LC-MS$^2$Struct,20,2,92.0
Only-MS$^2$,1,2,10.0
Only-MS$^2$,20,2,86.00000000000003
LC-MS$^2$Struct,1,3,28.000000000000004
LC-MS$^2$Struct,20,3,92.0
Only-MS$^2$,1,3,10.0
Only-MS$^2$,20,3,86.00000000000003
LC-MS$^2$Struct,1,4,28.000000000000004
LC-MS$^2$Struct,20,4,92.0
Only-MS$^2$,1,4,10.0
Only-MS$^2$,20,4,86.00000000000003
LC-MS$^2$Struct,1,5,26.0
LC-MS$^2$Struct,20,5,92.0
Only-MS$^2$,1,5,10.0
Only-MS$^2$,20,5,86.00000000000003
LC-MS$^2$Struct,1,6,28.000000000000004
LC-MS$^2$Struct,20,6,92.0
Only-MS$^2$,1,6,10.0
Only-MS$^2$,20,6,86.00000000000003
LC-MS$^2$Struct,1,7,26.0
LC-MS$^2$Struct,20,7,92.0
Only-MS$^2$,1,7,10.0
Only-MS$^2$,20,7,86.00000000000003
LC-MS$^2$Struct,1,8,26.0
LC-MS$^2$Struct,20,8,92.0
Only-MS$^2$,1,8,10.0
Only-MS$^2$,20,8,86.00000000000003
LC-MS$^2$Struct,1,1,22.0
LC-MS$^2$Struct,20,1,88.0
Only-MS$^2$,1,1,8.0
Only-MS$^2$,20,1,74.0
LC-MS$^2$Struct,1,2,20.0
LC-MS$^2$Struct,20,2,90.0
Only-MS$^2$,1,2,8.0
Only-MS$^2$,20,2,74.0
LC-MS$^2$Struct,1,3,24.0
LC-MS$^2$Struct,20,3,88.0
Only-MS$^2$,1,3,8.0
Only-MS$^2$,20,3,74.0
LC-MS$^2$Struct,1,4,20.0
LC-MS$^2$Struct,20,4,92.0
Only-MS$^2$,1,4,8.0
Only-MS$^2$,20,4,74.0
LC-MS$^2$Struct,1,5,20.0
LC-MS$^2$Struct,20,5,92.0
Only-MS$^2$,1,5,8.0
Only-MS$^2$,20,5,74.0
LC-MS$^2$Struct,1,6,20.0
LC-MS$^2$Struct,20,6,90.0
Only-MS$^2$,1,6,8.0
Only-MS$^2$,20,6,74.0
LC-MS$^2$Struct,1,7,20.0
LC-MS$^2$Struct,20,7,92.0
Only-MS$^2$,1,7,8.0
Only-MS$^2$,20,7,74.0
LC-MS$^2$Struct,1,8,20.0
LC-MS$^2$Struct,20,8,92.0
Only-MS$^2$,1,8,8.0
Only-MS$^2$,20,8,74.0
LC-MS$^2$Struct,1,1,36.0
LC-MS$^2$Struct,20,1,90.0
Only-MS$^2$,1,1,16.0
Only-MS$^2$,20,1,76.0
LC-MS$^2$Struct,1,2,30.0
LC-MS$^2$Struct,20,2,92.0
Only-MS$^2$,1,2,16.0
Only-MS$^2$,20,2,76.0
LC-MS$^2$Struct,1,3,26.0
LC-MS$^2$Struct,20,3,92.0
Only-MS$^2$,1,3,16.0
Only-MS$^2$,20,3,76.0
LC-MS$^2$Struct,1,4,28.000000000000004
LC-MS$^2$Struct,20,4,90.0
Only-MS$^2$,1,4,16.0
Only-MS$^2$,20,4,76.0
LC-MS$^2$Struct,1,5,30.0
LC-MS$^2$Struct,20,5,92.0
Only-MS$^2$,1,5,16.0
Only-MS$^2$,20,5,76.0
LC-MS$^2$Struct,1,6,30.0
LC-MS$^2$Struct,20,6,92.0
Only-MS$^2$,1,6,16.0
Only-MS$^2$,20,6,76.0
LC-MS$^2$Struct,1,7,28.000000000000004
LC-MS$^2$Struct,20,7,92.0
Only-MS$^2$,1,7,16.0
Only-MS$^2$,20,7,76.0
LC-MS$^2$Struct,1,8,28.000000000000004
LC-MS$^2$Struct,20,8,92.0
Only-MS$^2$,1,8,16.0
Only-MS$^2$,20,8,76.0
LC-MS$^2$Struct,1,1,23.0
LC-MS$^2$Struct,20,1,90.0
Only-MS$^2$,1,1,9.0
Only-MS$^2$,20,1,86.0
LC-MS$^2$Struct,1,2,23.0
LC-MS$^2$Struct,20,2,88.0
Only-MS$^2$,1,2,9.0
Only-MS$^2$,20,2,86.0
LC-MS$^2$Struct,1,3,21.0
LC-MS$^2$Struct,20,3,92.0
Only-MS$^2$,1,3,9.0
Only-MS$^2$,20,3,86.0
LC-MS$^2$Struct,1,4,17.0
LC-MS$^2$Struct,20,4,92.0
Only-MS$^2$,1,4,9.0
Only-MS$^2$,20,4,86.0
LC-MS$^2$Struct,1,5,21.0
LC-MS$^2$Struct,20,5,92.0
Only-MS$^2$,1,5,9.0
Only-MS$^2$,20,5,86.0
LC-MS$^2$Struct,1,6,23.0
LC-MS$^2$Struct,20,6,92.0
Only-MS$^2$,1,6,9.0
Only-MS$^2$,20,6,86.0
LC-MS$^2$Struct,1,7,23.0
LC-MS$^2$Struct,20,7,92.0
Only-MS$^2$,1,7,9.0
Only-MS$^2$,20,7,86.0
LC-MS$^2$Struct,1,8,21.0
LC-MS$^2$Struct,20,8,94.0
Only-MS$^2$,1,8,9.0
Only-MS$^2$,20,8,86.0
LC-MS$^2$Struct,1,1,3.8461538461538463
LC-MS$^2$Struct,20,1,48.07692307692308
Only-MS$^2$,1,1,5.769230769230769
Only-MS$^2$,20,1,37.01923076923078
LC-MS$^2$Struct,1,2,7.6923076923076925
LC-MS$^2$Struct,20,2,42.30769230769231
Only-MS$^2$,1,2,5.769230769230769
Only-MS$^2$,20,2,37.01923076923078
LC-MS$^2$Struct,1,3,7.6923076923076925
LC-MS$^2$Struct,20,3,46.15384615384615
Only-MS$^2$,1,3,5.769230769230769
Only-MS$^2$,20,3,37.01923076923078
LC-MS$^2$Struct,1,4,9.615384615384617
LC-MS$^2$Struct,20,4,48.07692307692308
Only-MS$^2$,1,4,5.769230769230769
Only-MS$^2$,20,4,37.01923076923078
LC-MS$^2$Struct,1,5,9.615384615384617
LC-MS$^2$Struct,20,5,48.07692307692308
Only-MS$^2$,1,5,5.769230769230769
Only-MS$^2$,20,5,37.01923076923078
LC-MS$^2$Struct,1,6,9.615384615384617
LC-MS$^2$Struct,20,6,48.07692307692308
Only-MS$^2$,1,6,5.769230769230769
Only-MS$^2$,20,6,37.01923076923078
LC-MS$^2$Struct,1,7,9.615384615384617
LC-MS$^2$Struct,20,7,48.07692307692308
Only-MS$^2$,1,7,5.769230769230769
Only-MS$^2$,20,7,37.01923076923078
LC-MS$^2$Struct,1,8,9.615384615384617
LC-MS$^2$Struct,20,8,46.15384615384615
Only-MS$^2$,1,8,5.769230769230769
Only-MS$^2$,20,8,37.01923076923078
LC-MS$^2$Struct,1,1,5.88235294117647
LC-MS$^2$Struct,20,1,54.90196078431373
Only-MS$^2$,1,1,4.201680672268907
Only-MS$^2$,20,1,41.38443256090315
LC-MS$^2$Struct,1,2,5.88235294117647
LC-MS$^2$Struct,20,2,49.01960784313725
Only-MS$^2$,1,2,4.201680672268907
Only-MS$^2$,20,2,41.38443256090315
LC-MS$^2$Struct,1,3,7.84313725490196
LC-MS$^2$Struct,20,3,49.01960784313725
Only-MS$^2$,1,3,4.201680672268907
Only-MS$^2$,20,3,41.38443256090315
LC-MS$^2$Struct,1,4,5.88235294117647
LC-MS$^2$Struct,20,4,50.98039215686274
Only-MS$^2$,1,4,4.201680672268907
Only-MS$^2$,20,4,41.38443256090315
LC-MS$^2$Struct,1,5,5.88235294117647
LC-MS$^2$Struct,20,5,50.98039215686274
Only-MS$^2$,1,5,4.201680672268907
Only-MS$^2$,20,5,41.38443256090315
LC-MS$^2$Struct,1,6,5.88235294117647
LC-MS$^2$Struct,20,6,50.98039215686274
Only-MS$^2$,1,6,4.201680672268907
Only-MS$^2$,20,6,41.38443256090315
LC-MS$^2$Struct,1,7,5.88235294117647
LC-MS$^2$Struct,20,7,50.98039215686274
Only-MS$^2$,1,7,4.201680672268907
Only-MS$^2$,20,7,41.38443256090315
LC-MS$^2$Struct,1,8,5.88235294117647
LC-MS$^2$Struct,20,8,52.94117647058824
Only-MS$^2$,1,8,4.201680672268907
Only-MS$^2$,20,8,41.38443256090315
LC-MS$^2$Struct,1,1,3.92156862745098
LC-MS$^2$Struct,20,1,45.09803921568628
Only-MS$^2$,1,1,3.92156862745098
Only-MS$^2$,20,1,43.13725490196079
LC-MS$^2$Struct,1,2,5.88235294117647
LC-MS$^2$Struct,20,2,47.05882352941176
Only-MS$^2$,1,2,3.92156862745098
Only-MS$^2$,20,2,43.13725490196079
LC-MS$^2$Struct,1,3,5.88235294117647
LC-MS$^2$Struct,20,3,49.01960784313725
Only-MS$^2$,1,3,3.92156862745098
Only-MS$^2$,20,3,43.13725490196079
LC-MS$^2$Struct,1,4,3.92156862745098
LC-MS$^2$Struct,20,4,52.94117647058824
Only-MS$^2$,1,4,3.92156862745098
Only-MS$^2$,20,4,43.13725490196079
LC-MS$^2$Struct,1,5,5.88235294117647
LC-MS$^2$Struct,20,5,50.98039215686274
Only-MS$^2$,1,5,3.92156862745098
Only-MS$^2$,20,5,43.13725490196079
LC-MS$^2$Struct,1,6,3.92156862745098
LC-MS$^2$Struct,20,6,50.98039215686274
Only-MS$^2$,1,6,3.92156862745098
Only-MS$^2$,20,6,43.13725490196079
LC-MS$^2$Struct,1,7,3.92156862745098
LC-MS$^2$Struct,20,7,49.01960784313725
Only-MS$^2$,1,7,3.92156862745098
Only-MS$^2$,20,7,43.13725490196079
LC-MS$^2$Struct,1,8,3.92156862745098
LC-MS$^2$Struct,20,8,50.98039215686274
Only-MS$^2$,1,8,3.92156862745098
Only-MS$^2$,20,8,43.13725490196079
LC-MS$^2$Struct,1,1,9.803921568627452
LC-MS$^2$Struct,20,1,43.13725490196079
Only-MS$^2$,1,1,4.117647058823529
Only-MS$^2$,20,1,42.13036565977741
LC-MS$^2$Struct,1,2,9.803921568627452
LC-MS$^2$Struct,20,2,43.13725490196079
Only-MS$^2$,1,2,4.117647058823529
Only-MS$^2$,20,2,42.13036565977741
LC-MS$^2$Struct,1,3,9.803921568627452
LC-MS$^2$Struct,20,3,41.17647058823529
Only-MS$^2$,1,3,4.117647058823529
Only-MS$^2$,20,3,42.13036565977741
LC-MS$^2$Struct,1,4,5.88235294117647
LC-MS$^2$Struct,20,4,41.17647058823529
Only-MS$^2$,1,4,4.117647058823529
Only-MS$^2$,20,4,42.13036565977741
LC-MS$^2$Struct,1,5,7.84313725490196
LC-MS$^2$Struct,20,5,41.17647058823529
Only-MS$^2$,1,5,4.117647058823529
Only-MS$^2$,20,5,42.13036565977741
LC-MS$^2$Struct,1,6,5.88235294117647
LC-MS$^2$Struct,20,6,39.21568627450981
Only-MS$^2$,1,6,4.117647058823529
Only-MS$^2$,20,6,42.13036565977741
LC-MS$^2$Struct,1,7,5.88235294117647
LC-MS$^2$Struct,20,7,41.17647058823529
