scoring_method,k,n_models,top_k_acc
LC-MS$^2$Struct,20,6,42.0
Only-MS$^2$,1,6,6.0
Only-MS$^2$,20,6,38.0
LC-MS$^2$Struct,1,7,8.0
LC-MS$^2$Struct,20,7,42.0
Only-MS$^2$,1,7,6.0
Only-MS$^2$,20,7,38.0
LC-MS$^2$Struct,1,8,6.0
LC-MS$^2$Struct,20,8,40.0
Only-MS$^2$,1,8,6.0
Only-MS$^2$,20,8,38.0
LC-MS$^2$Struct,1,1,11.0
LC-MS$^2$Struct,20,1,54.0
Only-MS$^2$,1,1,7.1327985739750455
Only-MS$^2$,20,1,58.29629629629628
LC-MS$^2$Struct,1,2,9.0
LC-MS$^2$Struct,20,2,60.0
Only-MS$^2$,1,2,7.1327985739750455
Only-MS$^2$,20,2,58.29629629629628
LC-MS$^2$Struct,1,3,9.0
LC-MS$^2$Struct,20,3,60.0
Only-MS$^2$,1,3,7.1327985739750455
Only-MS$^2$,20,3,58.29629629629628
LC-MS$^2$Struct,1,4,9.0
LC-MS$^2$Struct,20,4,56.00000000000001
Only-MS$^2$,1,4,7.1327985739750455
Only-MS$^2$,20,4,58.29629629629628
LC-MS$^2$Struct,1,5,9.0
LC-MS$^2$Struct,20,5,57.99999999999999
Only-MS$^2$,1,5,7.1327985739750455
Only-MS$^2$,20,5,58.29629629629628
LC-MS$^2$Struct,1,6,9.0
LC-MS$^2$Struct,20,6,57.99999999999999
Only-MS$^2$,1,6,7.1327985739750455
Only-MS$^2$,20,6,58.29629629629628
LC-MS$^2$Struct,1,7,9.0
LC-MS$^2$Struct,20,7,57.99999999999999
Only-MS$^2$,1,7,7.1327985739750455
Only-MS$^2$,20,7,58.29629629629628
LC-MS$^2$Struct,1,8,9.0
LC-MS$^2$Struct,20,8,60.0
Only-MS$^2$,1,8,7.1327985739750455
Only-MS$^2$,20,8,58.29629629629628
LC-MS$^2$Struct,1,1,16.0
LC-MS$^2$Struct,20,1,62.0
Only-MS$^2$,1,1,12.517647058823531
Only-MS$^2$,20,1,55.99999999999999
LC-MS$^2$Struct,1,2,14.000000000000002
LC-MS$^2$Struct,20,2,66.0
Only-MS$^2$,1,2,12.517647058823531
Only-MS$^2$,20,2,55.99999999999999
LC-MS$^2$Struct,1,3,14.000000000000002
LC-MS$^2$Struct,20,3,66.0
Only-MS$^2$,1,3,12.517647058823531
Only-MS$^2$,20,3,55.99999999999999
LC-MS$^2$Struct,1,4,18.0
LC-MS$^2$Struct,20,4,64.0
Only-MS$^2$,1,4,12.517647058823531
Only-MS$^2$,20,4,55.99999999999999
LC-MS$^2$Struct,1,5,18.0
LC-MS$^2$Struct,20,5,64.0
Only-MS$^2$,1,5,12.517647058823531
Only-MS$^2$,20,5,55.99999999999999
LC-MS$^2$Struct,1,6,20.0
LC-MS$^2$Struct,20,6,62.0
Only-MS$^2$,1,6,12.517647058823531
Only-MS$^2$,20,6,55.99999999999999
LC-MS$^2$Struct,1,7,20.0
LC-MS$^2$Struct,20,7,62.0
Only-MS$^2$,1,7,12.517647058823531
Only-MS$^2$,20,7,55.99999999999999
LC-MS$^2$Struct,1,8,20.0
LC-MS$^2$Struct,20,8,66.0
Only-MS$^2$,1,8,12.517647058823531
Only-MS$^2$,20,8,55.99999999999999
LC-MS$^2$Struct,1,1,9.0
LC-MS$^2$Struct,20,1,64.0
Only-MS$^2$,1,1,5.153846153846153
Only-MS$^2$,20,1,57.68091168091167
LC-MS$^2$Struct,1,2,11.0
LC-MS$^2$Struct,20,2,62.0
Only-MS$^2$,1,2,5.153846153846153
Only-MS$^2$,20,2,57.68091168091167
LC-MS$^2$Struct,1,3,11.0
LC-MS$^2$Struct,20,3,57.99999999999999
Only-MS$^2$,1,3,5.153846153846153
Only-MS$^2$,20,3,57.68091168091167
